protein,model,best_ft_experiment,EF1_ft_minus_cold,EF1_ft_minus_original,EF5_ft_minus_cold,EF5_ft_minus_original,AUPRC_ft_minus_cold,AUPRC_ft_minus_original,AUROC_ft_minus_cold,AUROC_ft_minus_original
CK1d,PSICHIC,CK1d_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to1_stage1_head_pool_attn_lr5e6_ep10_screen,3.763,-4.848,1.866,-4.429,0.053,-0.4459999999999999,-0.067,-0.143
CK1d,DTIAM,cold_v4_frozen_head_ft_ratio_1to10,6.03921568627451,-1.8692810457516345,3.3823915900131403,-4.437582128777923,0.2434755939941388,-0.4195001046020514,0.0793106950852494,-0.1052104167495669
CK1d,ConPLex,delft_coldv4_ratio_1to10,1.797267387418064,-6.757725376691919,3.150909668328101,-4.3505679365447625,0.2131547798833388,-0.2963806897572152,0.3573548667080885,-0.0147836998264412
CK1d,MMF-DTI,delft_coldv4_ratio_1to10,0.0,-6.542483660130717,-0.4914586070959261,-4.582128777923784,-0.0256390363793815,-0.4019704372305471,-0.0129689191821243,-0.1458208546518079
MAPK14,HitScreen,Frozen DEL FT 1:1,-2.437000000000001,-3.257,-1.346,-3.727,-0.121,-0.321,-0.067,-0.161
MAPK14,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-0.5617021276595757,-0.6787234042553187,-1.0685982104814655,-1.3170004260758414,-0.1340978974594922,-0.1779857353212877,-0.1418928430256696,-0.1917175807996456
MAPK14,ColdstartCPI,FreezeFeature FT 1:5 lr=1e-5 ep10,2.64468085106383,-0.3042553191489361,2.493395824456753,-0.8248828291435863,0.1753148923206749,-0.097255379573021,0.0478968670184782,-0.041934304442578
MAPK14,PSICHIC,MAPK14_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to1_stage1_head_pool_attn_lr5e6_ep10_screen,5.320000000000001,0.0940000000000012,2.648,-0.8159999999999998,0.213,-0.0529999999999999,0.0579999999999999,-0.032
MAPK14,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,2.012765957446807,-0.5382978723404257,-1.4857264593097566,-3.754154239454623,-0.1475681673018,-0.3855886839805967,-0.2298226056608426,-0.3316816276162805
MAPK14,ConPLex,delft_coldv4_ratio_1to5,3.884940837401333,-2.3403258056634524,1.490349786597614,-2.329257370877401,0.0998605229091556,-0.1818697719460609,0.023065805368295,-0.0773534551705442
MAPK14,MMF-DTI,delft_coldv4_ratio_1to5,3.8851063829787233,-0.4212765957446818,1.2841925862803576,-1.8278653600340864,0.0813110282651694,-0.1645546452892974,0.0437323068799533,-0.1893615051642231
AuroraA,HitScreen,Frozen DEL FT 1:1,0.6189999999999998,-1.032,-0.8330000000000002,-1.4450000000000005,-0.0709999999999999,-0.159,-0.0259999999999999,-0.0379999999999999
AuroraA,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-2.3718750000000006,-5.053125,-2.3252032520325203,-5.200750469043152,-0.2139313113091047,-0.4991541913675782,-0.2108419985894339,-0.2859684723303094
AuroraA,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,1.7531250000000007,0.2750000000000003,2.3664790494058767,-0.5984990619136976,0.2104570821899899,-0.0547924597007496,0.0566651383164813,-0.0181233418860945
AuroraA,PSICHIC,AuroraA_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to10_stage1_head_pool_attn_lr5e6_ep10_screen,0.9299999999999996,-0.4809999999999998,1.0940000000000003,0.1370000000000004,0.0999999999999999,-0.028,0.0079999999999998,-0.016
AuroraA,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,-2.750000000000001,-3.9875,-4.141338336460287,-5.1044402751719815,-0.4507090565541302,-0.5750970934648324,-0.3301693662257029,-0.3553855634378217
AuroraA,ConPLex,delft_coldv4_ratio_1to5,1.4437048348244996,-0.8593481159669647,0.096307180976412,-2.015571716149158,0.0165091038638554,-0.1952224452931875,-0.0065291910207504,-0.0748117595530957
AuroraA,MMF-DTI,delft_coldv4_ratio_1to10,2.921875,-0.34375,1.444652908067542,-2.421513445903689,0.1192488415007743,-0.2106322141268156,0.0681510925730233,-0.112615857785752
DDR1,HitScreen,Frozen DEL FT 1:1,-0.3530000000000015,-1.620000000000001,1.915,-1.0280000000000005,0.138,-0.129,0.26,-0.034
DDR1,GraphBAN,V4 FT 1:5 lr=5e-6 ep10,0.9808917197452228,-4.764331210191083,1.8450704225352117,-1.873239436619718,0.0364471274655666,-0.1208894665536204,0.0458082721682205,-0.1256165691331086
DDR1,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,-3.082802547770701,-5.114649681528662,-0.9859154929577468,-1.352112676056338,0.0541516377477344,-0.0165086152852347,0.2351908351517556,0.1497091846855781
DDR1,PSICHIC,DDR1_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to10_stage1_head_pool_attn_lr5e5_ep10_screen,-2.324,-1.338,1.6199999999999997,0.7749999999999995,0.145,0.138,0.2999999999999999,0.3219999999999999
DDR1,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,3.3630573248407654,2.452229299363059,5.887323943661973,5.577464788732394,0.4343769579831016,0.4069014087811023,0.171264828407062,0.1455985915492957
DDR1,ConPLex,delft_coldv4_ratio_1to10,1.4712433838701011,4.2736117340988615,2.633634199563579,3.295563650790789,0.1898492870417366,0.2699808425649849,0.1534239665757061,0.2260648686824801
DDR1,MMF-DTI,delft_coldv4_ratio_1to10,-0.9108280254777072,-4.273885350318471,-0.0140845070422535,-0.830985915492958,0.0482011416523427,0.0237979679468228,0.1373982344772861,0.2047649027970639
CK1a,HitScreen,Frozen DEL FT 1:5,0.0,-6.200999999999999,1.5510000000000002,-2.1699999999999995,0.104,-0.1189999999999999,0.12,-0.021
CK1a,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-2.2,-0.7333333333333333,0.4647887323943661,0.7746478873239436,0.0323616795117849,-0.0103049628129553,0.103293071329848,-0.0473589327564447
CK1a,ColdstartCPI,FreezeFeature FT 1:5 lr=1e-5 ep10,0.0,0.0,-0.7746478873239433,-1.2394366197183098,-0.0287318681422608,-0.076212235641325,-0.0476293491977645,-0.1476533862147707
CK1a,PSICHIC,CK1a_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to5_stage1_head_pool_attn_lr5e5_ep10_screen,1.55,-0.776,-1.085,-2.1710000000000003,-0.049,-0.076,-0.139,-0.152
CK1a,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,-4.4,-8.8,-1.3943661971830985,-4.802816901408451,-0.0488793359072121,-0.2545803797628179,-0.0738296977345113,-0.1233880175470225
CK1a,ConPLex,delft_coldv4_ratio_1to5,2.2,-1.4666666666666672,0.1549295774647885,-1.3943661971830985,-0.0033108567177233,-0.12165549365275,-0.0202511868277147,-0.1094555615648099
CK1a,MMF-DTI,delft_coldv4_ratio_1to1,-2.933333333333333,0.0,-1.23943661971831,-0.929577464788732,-0.0374596230051947,-0.0564975602609625,-0.0240700679045731,-0.1659876209362417
CAIX,HitScreen,Frozen DEL FT 1:10,0.9850000000000004,-2.913,-0.0969999999999999,-5.944999999999999,-0.0069999999999999,-0.5790000000000001,-0.027,-0.257
CAIX,GraphBAN,V4 FT 1:1 lr=5e-6 ep10,-3.059047619047618,0.3142857142857145,-3.1386666666666665,-0.0586666666666668,-0.1866026265072304,-0.0150123520774498,-0.144478320668684,-0.038422047969284
CAIX,ColdstartCPI,FreezeFeature FT 1:10 lr=1e-5 ep10,-3.582857142857143,0.2514285714285715,-2.401142857142857,0.7668571428571429,-0.114407399175112,0.0569626217940192,-0.1284551643648411,0.2519373163888706
CAIX,PSICHIC,CAIX_CHEMBL10_HitScreen_cold_v4_ft_ratio_1to1_stage1_head_pool_attn_lr5e6_ep10_screen,-0.5449999999999999,1.95,-0.8679999999999986,-0.9309999999999992,-0.125,-0.189,-0.1070000000000001,-0.151
CAIX,DTIAM,cold_v4_frozen_head_ft_ratio_1to5,-5.11238095238095,-5.699047619047618,-5.418285714285714,-6.155809523809523,-0.4378426776670608,-0.5397569649939424,-0.2260467188031371,-0.2708086645891798
CAIX,ConPLex,delft_coldv4_ratio_1to10,0.4399999999999999,-1.697142857142857,-0.3352380952380951,-2.401142857142857,-0.0113021820540595,-0.1877133190794915,-0.0118188598489942,-0.1424899706494572
CAIX,MMF-DTI,delft_coldv4_ratio_1to1,-4.965714285714286,-2.849523809523809,-3.243428571428572,-1.7683809523809522,-0.203851328560117,-0.1120293861542825,-0.1862162015049263,-0.1635737661000417
